,kingdom,phylum,class,order,family,genus,label
149,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Marasmiellus,Unknown
150,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Gymnopus,Unknown
151,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Macrocystidia,Unknown
153,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Macrolepiota,Edible
154,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Chlorophyllum,Unknown
155,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Coprinus,Edible
156,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Calvatia,Unknown
157,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Crucibulum,Unknown
158,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Cyathus,Unknown
159,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Cystoderma,Unknown
160,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Cystolepiota,Unknown
161,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Nidularia,Unknown
162,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Echinoderma,Unknown
163,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Bovista,Unknown
164,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Phaeolepiota,Unknown
165,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Lycoperdon,Non-edible
166,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Battarrea,Unknown
167,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Leucocoprinus,Non-edible
168,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Leucoagaricus,Unknown
169,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Tulostoma,Unknown
170,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Lepiota,Edible
171,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Edible
175,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Crepidotus,Unknown
176,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Tubaria,Unknown
177,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,Non-edible
178,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Flammulaster,Unknown
179,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Ampulloclitocybe,Unknown
180,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrophorus,Unknown
181,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrocybe,Unknown
182,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cuphophyllus,Unknown
183,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Gliophorus,Unknown
184,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Porpolomopsis,Unknown
185,Fungi,Basidiomycota,Agaricomycetes,Boletales,Hygrophoropsidaceae,Hygrophoropsis,Unknown
186,Fungi,Basidiomycota,Agaricomycetes,Russulales,Hericiaceae,Hericium,Unknown
187,Fungi,Ascomycota,Pezizomycetes,Pezizales,Helvellaceae,Helvella,Unknown
190,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meripilaceae,Meripilus,Non-edible
191,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meripilaceae,Grifola,Non-edible
192,Fungi,Basidiomycota,Agaricomycetes,Boletales,Gomphidiaceae,Gomphidius,Unknown
193,Fungi,Basidiomycota,Agaricomycetes,Boletales,Gomphidiaceae,Chroogomphus,Unknown
194,Fungi,Basidiomycota,Agaricomycetes,Geastrales,Geastraceae,Myriostoma,Unknown
195,Fungi,Basidiomycota,Agaricomycetes,Geastrales,Geastraceae,Geastrum,Unknown
196,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Ganodermataceae,Ganoderma,Non-edible
197,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Daedalea,Unknown
198,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Piptoporus,Unknown
199,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Postia,Unknown
200,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Cyanosporus,Unknown
201,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Phaeolus,Unknown
202,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Daedaleopsis,Non-edible
203,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Fomitopsis,Non-edible
204,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Auriculariaceae,Exidia,Unknown
205,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Auriculariaceae,Auricularia,Edible
207,Fungi,Basidiomycota,Dacrymycetes,Dacrymycetales,Dacrymycetaceae,Calocera,Unknown
208,Fungi,Basidiomycota,Dacrymycetes,Dacrymycetales,Dacrymycetaceae,Dacrymyces,Unknown
